texto_conversacion,intencion_consenso,intencion_heuristica_baseline,fuente,fecha,estado_crm,etiqueta_crm
CIUDAD: Guayaquil | MENSAJE: por favor me pueden confirmar ?,INF,INF,WhatsApp,25/3/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Estoy intentando en comprar el pigmento | NOTAS: INFO PIGMENTOS,VEN,VEN,CRM2,22/04/2024,Contactado,Informacion General
CIUDAD: Guayaquil | MENSAJE: Ok gracias mi estimado,INF,INF,WhatsApp,27/8/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buen día. Necesito sellador para pisos de hormigón Asesor: Cual es tu nombre? Asesor: Sigues ahí? Cliente: Cristian Avalos Asesor: Exce",INF,INF,CRM1,29/05/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Nuevo | NOTAS: se envio presentacion y catalogos jeva,INF,INF,CRM1,28/03/2023,Nuevo,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: info curso y general,CUR,CUR,CRM1,03/07/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buena tarde. Necesito endurecedor para hormigón fresco color Sonora buf Asesor: Cual es tu nombre? Cliente: Silvia Lovato Asesor: Excel | NOTAS: INFO GENERANAL",INF,INF,CRM2,14/12/2023,Contactado,Informacion General
"ETIQUETA: Email inválido | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,cliente duplicado",,SEG,CRM2,11/04/2024,En seguimiento,Email inválido
ETIQUETA: Email - Numero inválido | ESTADO: numero no valido | NOTAS: numero no valido,,INF,CRM2,14/11/2023,numero no valido,Email - Numero inválido
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenos dias Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: marina Cliente: quisiera saber si se puede aplicar microce | NOTAS: INFO MICRO",INF,INF,CRM2,01/11/2023,Contactado,Informacion General
"CIUDAD: Quito | MENSAJE: Gracias Arq , la experiencia también cuenta",INF,INF,WhatsApp,13/5/2025,,
"CIUDAD: Loja | MENSAJE: Buenos días, una vereda de 40 m2, quiero paleteale fino y aplicarle ácido, puedo colocarle el ácido terminado el paleteado y cuanto litros necesito,   además del óxido tienen en otros colores y debo lavarse luego de su aplicación, me puede indicar el",TEC,INF,WhatsApp,14/11/2024,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envió información general y catálogos - base de datos,INF,INF,CRM2,05/09/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: tengo un piso de microcemento que es totalmente mate, quisiera un producto o sellador que le de un toque de brillo o satinado, no muy brillante como espejo pero si que quede satinado | NOTAS: Se envio msj al cliente.",TEC,INF,CRM2,09/10/2024,Contactado,Informacion General
ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | NOTAS: se envió información y números de contacto,INF,INF,CRM1,22/02/2023,Contactado,Envio masivo whasapp
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenos días Marina, me gustaría recibir información sobre el servicio de microcemento. Cuánto cuesta? Y si ustedes ofrecen la instalaci | NOTAS: info micro",COT,INF,CRM2,06/03/2024,Contactado,Informacion General
ETIQUETA: Seguimiento de presentacion | ESTADO: Contactado | NOTAS: SE ENVIO CATALOGOS Y PRESENTACION,INF,SEG,CRM1,03/05/2023,Contactado,Seguimiento de presentacion
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola Marina estoy buscando un micro cemento para colocarlo en el piso Asesor: Cual es tu nombre? Cliente: Monica Asesor: Excelente Moni | NOTAS: Se envió información via mail",INF,INF,CRM2,29/05/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: hola buenos dias necesito cotizar 1000 kg de desmoldante en polvo 0958990008 escribirme primero mpor whatsapp Asesor: Cual es tu nombre | NOTAS: Desea 1000 kg de demosdante, se encuentra en manta, 87.00 + IVA LA CAJA",COT,INF,CRM2,16/10/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenas noches como funciona el alquiler de moldes para estampar. Gracias Asesor: Cual es tu nombre? Cliente: Gina Pozo Arellano Asesor: | NOTAS: se le envió información, esta como Dina Pozo",INF,INF,CRM2,24/07/2023,Contactado,Informacion General
"ETIQUETA: Cotización Obra, Cotizacion Materiales, Informacion General, Email inválido | ESTADO: En seguimiento | NOTAS: Se envió WhatsApp de seguimiento",INF,COT,CRM2,29/04/2024,En seguimiento,"Cotización Obra, Cotizacion Materiales, Informacio"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: MAESTROS 25 m2 micro /maestros,INF,INF,CRM1,29/06/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buenos días Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: Necesito consultar si dispone de cubetos metálicos de 5 ga | NOTAS: INFO DE CUBETOS",INF,INF,CRM2,16/04/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buyen dia Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: tien azucolor para pisos en color rojo Asesor: Cual es tu no | NOTAS: desea materiales para un piso rojo",INF,INF,CRM2,06/06/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: interesado en concreto estampado la próxima semana se comunica se le escribio el me avisa aun no tiene fecha 22/06,INF,INF,CRM1,14/06/2023,Contactado,Informacion General
CIUDAD: Loja | MENSAJE: ‎PRECIOS GENERALES  2025.pdf (archivo adjunto),COT,COT,WhatsApp,27/5/2025,,
"CIUDAD: Guayaquil | MENSAJE: A todos, que tengan un excelente feriado.",INF,INF,WhatsApp,22/5/2025,,
ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | NOTAS: se le cotizo microcemento materiales para 120m2 en loja,COT,COT,CRM1,08/06/2023,Contactado,Cotizacion Materiales
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO GENERAL,INF,INF,CRM1,03/07/2023,Contactado,Informacion General
ETIQUETA: Cotización Obra | ESTADO: Contactado | NOTAS: 134 m2 C/E,COT,INF,CRM2,08/09/2023,Contactado,Cotización Obra
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Desean información sobre concreto estampado en pared / acabados para fachada 25 m2 en Puembo - Se envió información general,INF,INF,CRM2,02/02/2024,Contactado,Informacion General
ETIQUETA: Email - Numero inválido | ESTADO: Nuevo | NOTAS: se envió WhatsApp y catálogos,INF,INF,CRM1,09/03/2023,Nuevo,Email - Numero inválido
ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: Interesado en microcemento- Cliente construex,INF,SEG,CRM2,16/04/2024,En seguimiento,Informacion General
CIUDAD: Manta | MENSAJE: Dónde es la ubicación ?,INF,INF,WhatsApp,4/3/2025,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola, me puede ayudar con el valor por m2 del microcemento Asesor: Cual es tu nombre? Cliente: Daniela Arcentales Asesor: Excelente Dan | NOTAS: se envió información general y catálogos, esta interesado en micro cemento",COT,INF,CRM2,22/11/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: PROSPECTO FERIA CLAVE , INF MICROCEMENTO,se envío información y catalogo general",INF,INF,CRM2,14/06/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: ARQUITECTOS Se envió catálogo general,INF,INF,CRM2,29/05/2024,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO PIGMENTOS,INF,INF,CRM2,25/08/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: porfavor comuniquese conmigo 0984230802 Asesor: Cual es tu nombre? Asesor: Sigues ahí? Cliente: Ana lucia Asesor: Te puedo pedir además | NOTAS: se envió información y catalogo general",INF,INF,CRM2,10/06/2024,Contactado,Informacion General
"ETIQUETA: Cliente Derivado provincias | ESTADO: Cliente Frecuente | NOTAS: Se envió WhatsApp masivo,se envio contacto de arq Miguel Vera",INF,INF,CRM1,22/02/2023,Cliente Frecuente,Cliente Derivado provincias
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: hola Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: buenas Cliente: mi nombre es joselyn Asesor: Cual es tu nombre? C | NOTAS: se envió catalogo y presentación se envio información del curso",CUR,CUR,CRM1,26/04/2023,Contactado,Informacion General
ETIQUETA: Asesoramiento Tecnico | ESTADO: Contactado | CONSULTA: Hola quisiera información para adquirir un kit | NOTAS: interesado en colocar microcemento en baños de un hotel montañita,INF,INF,CRM2,05/06/2024,Contactado,Asesoramiento Tecnico
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: hola Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: tienen celosias de hormigon? Asesor: Cual es tu nombre? Cliente:  | NOTAS: El cliente requiere otro producto,se adjunta catalogo general de nuestros productos.",INF,INF,CRM2,07/11/2024,Contactado,Informacion General
ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | NOTAS: se le envió cotización de materiales para concreto estampado,COT,COT,CRM1,05/07/2023,Contactado,Cotizacion Materiales
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,se envió información y catalogo general",INF,SEG,CRM2,11/04/2024,En seguimiento,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: buenos dias Asesor: ¿Cómo estás? Cuéntame, ¿en que te puedo servir? Cliente: que producto puedo mezclar con arena y cemento para impedi | NOTAS: se envió información general y catalogo",TEC,INF,CRM2,06/06/2024,Contactado,Informacion General
"ETIQUETA: Cotizacion Materiales, Informacion General, Asesoramiento Tecnico | ESTADO: Contactado | CONSULTA: Por favor podría ayudarme con una cotización para aplicar hormigón pulido en piso en una obra de la ciudad de El Empalme | NOTAS: INFO MICROCEMENTO Y CE",COT,COT,CRM2,19/04/2024,Contactado,"Cotizacion Materiales, Informacion General, Asesor"
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Ayúdame con información Asesor: Cual es tu nombre? Cliente: Estefania Zuleta Asesor: Excelente Estefania. Yo me encargo de ponerte en c | NOTAS: Se envia catalogo general de nuestros productos.",INF,INF,CRM2,02/09/2024,Contactado,Informacion General
CIUDAD: Loja | MENSAJE: Amigps como estan,INF,INF,WhatsApp,7/11/2024,,
ETIQUETA: Email - Numero inválido | ESTADO: Contactado | NOTAS: se envio presentacion y catalogos agendas,,INF,CRM1,28/03/2023,Contactado,Email - Numero inválido
ETIQUETA: Envio masivo whasapp | ESTADO: Contactado | NOTAS: Se envió WhatsApp 07/03,INF,INF,CRM1,06/03/2023,Contactado,Envio masivo whasapp
CIUDAD: Quito | MENSAJE: Hola Walter te envio audio,INF,INF,WhatsApp,2/3/2026,,
CIUDAD: Quito | MENSAJE: Los vamos a mantener !!,INF,INF,WhatsApp,30/6/2025,,
"ETIQUETA: Informacion General, Email inválido | ESTADO: Contactado | NOTAS: CLIENTE COSNTRUEX",,INF,CRM2,09/05/2024,Contactado,"Informacion General, Email inválido"
ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Me interesaría en alquilar moldes | NOTAS: Se le envió información general y catalogos,INF,INF,CRM2,16/08/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buen día que precio tiene el metro que diseños hay ,es resbaloso y si el piso es un poco irregular también sirve? Asesor: Cual es tu no | NOTAS: Se envío información general y catálogos, por correo. SJ",COT,COT,CRM1,15/05/2023,Contactado,Informacion General
CIUDAD: Loja | MENSAJE: ‎IMG-20250717-WA0027.jpg (archivo adjunto),,INF,WhatsApp,17/7/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Cemento pulido para pisos | NOTAS: Se envia catalogo general y catalogo microcemento.,INF,INF,CRM2,09/09/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Marina buenos dias como le va soy Monica Zambrano Asesor: Cual es tu nombre? Cliente: queria consultarle si ustedes distribuyen cera pa | NOTAS: INFO DE CERA PARA PISOS",INF,INF,CRM2,16/10/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Buen día..precio de los moldes para estampar en cemento Asesor: Cual es tu nombre? Cliente: ESPERANZA Asesor: Yo me encargo de ponerte  | NOTAS: se envió información de catálogos y concreto estampado vía coreo electrónico",COT,COT,CRM2,03/12/2023,Contactado,Informacion General
"CIUDAD: Manta | MENSAJE: Buenas tardes, gracias por la información. Saludos.",INF,INF,WhatsApp,26/8/2025,,
CIUDAD: Quito | MENSAJE: Gracias le escribo por interno,INF,INF,WhatsApp,5/5/2026,,
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Nese cito el cupo para el curso . Asesor: Cual es tu nombre? Cliente: Victor Andy Asesor: Excelente Andy. Yo me encargo de ponerte en c | NOTAS: Cliente interesado en el curso",CUR,CUR,CRM2,28/05/2024,Contactado,Informacion General
"ETIQUETA: Envio masivo whasapp, Email - Numero inválido | ESTADO: Contactado | NOTAS: Se envió WhatsApp masivo,se envió presentación",,INF,CRM1,22/02/2023,Contactado,"Envio masivo whasapp, Email - Numero inválido"
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se le envió información general y catálogos,INF,INF,CRM1,06/03/2023,Contactado,Informacion General
CIUDAD: Manta | MENSAJE: En la 5 de junio y manabi,INF,INF,WhatsApp,4/3/2025,,
ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | NOTAS: se le indico el precio por m2 de microcemento para 25m2 y se le dio números de maestros,COT,COT,CRM1,06/06/2023,Contactado,Cotizacion Materiales
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola maria, SoyCarlos soy arquitecto y necesito informacion sobre su producto Asesor: Excelente Maria. Yo me encargo de ponerte en cont | NOTAS: Se envió información general y catalogo",INF,INF,CRM2,11/07/2024,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: En seguimiento | NOTAS: CLIENTE BASE CONSTRUEX,se envió información general y catalogos",INF,SEG,CRM2,11/04/2024,En seguimiento,Informacion General
CIUDAD: Quito | MENSAJE: Felicidades !!!! Se ve muy bien esa pared !!!!,INF,INF,WhatsApp,26/2/2025,,
ETIQUETA: Info sobre microcemento | ESTADO: Contactado | NOTAS: SE CONTACTÓ POR WHATSAPP,INF,INF,CRM2,06/09/2024,Contactado,Info sobre microcemento
"ETIQUETA: Informacion General | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Saludos, quisiera saber el costo del concreto estampado Asesor: Cual es tu nombre? Cliente: Miguel Asesor: Excelente Miguel. Yo me enca | NOTAS: se le dio precio del concreto estampado",COT,COT,CRM1,19/05/2023,Contactado,Informacion General
"ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: nos vio en Instagram y me llamo, se le ha enviado catálogos de moldes- Guayaquil",INF,INF,CRM1,21/06/2023,Contactado,Informacion General
ETIQUETA: Cotizacion Materiales | ESTADO: Contactado | NOTAS: COTIZACION MATERIALES 40 M2,COT,COT,CRM2,28/03/2024,Contactado,Cotizacion Materiales
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envío información general y catalogos,INF,INF,CRM2,30/10/2023,Contactado,Informacion General
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se envio catalogp y presentacion agendas,INF,INF,CRM1,28/03/2023,Contactado,Informacion General
"ETIQUETA: Cotización Obra, Informacion General | ESTADO: En seguimiento | NOTAS: OBRA C/E 222 m2 SANGOLQUI",COT,SEG,CRM1,08/06/2023,En seguimiento,"Cotización Obra, Informacion General"
"CIUDAD: Guayaquil | MENSAJE: hay algún inconveniente de pedir aditivos de impermeabilización, acelerante, etc a la hormigonera",TEC,INF,WhatsApp,7/11/2025,,
"ETIQUETA: Cotización Obra, Informacion General | ESTADO: Contactado | NOTAS: 182 M2 MICRO FACHADA ENCOFRADO",COT,INF,CRM2,07/11/2023,Contactado,"Cotización Obra, Informacion General"
CIUDAD: Quito | MENSAJE: Amigos suban sus videos y fotos del taller. Muchas gracias,CUR,CUR,WhatsApp,29/3/2026,,
CIUDAD: Manta | MENSAJE: Saludos Arquitecta así es,INF,INF,WhatsApp,25/4/2024,,
"ETIQUETA: Info sobre microcemento | ESTADO: Nuevo | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Precio del micro cemento por favor? Asesor: Cual es tu nombre? Cliente: Rodrigo Asesor: Excelente Rodrigo. Yo me encargo de ponerte en  | NOTAS: SE CONTACTÓ POR WHATSAPP",COT,COT,CRM2,04/09/2024,Nuevo,Info sobre microcemento
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: se le direcciono a un maestro quieren hacer un mesón,INF,INF,CRM1,06/06/2023,Contactado,Informacion General
CIUDAD: Manta | MENSAJE: Vamos a estar un poco mas de un mes en la aplicacion de 1200 m2 .. asi que pasen cuando puedo puedan para  quw vean como va quedando el acabado !!,INF,TEC,WhatsApp,4/3/2025,,
CIUDAD: Cuenca | MENSAJE: ‎IMG-20250702-WA0032.jpg (archivo adjunto),,INF,WhatsApp,24/11/2025,,
"ETIQUETA: Email inválido | ESTADO: En seguimiento | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola por favor quiero que me ayudes con información y una cotización de microcemento y cemento decorativo Asesor: Cual es tu nombre? Cl | NOTAS: estar pendiente de que envíe las fotos a ver si necesita mortero",COT,SEG,CRM2,02/08/2023,En seguimiento,Email inválido
CIUDAD: Loja | MENSAJE: Pero es para un espacio en donde se venderán cárnicos.,INF,INF,WhatsApp,7/11/2024,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: INFO MICRO,INF,INF,CRM2,15/08/2023,Contactado,Informacion General
CIUDAD: Quito | MENSAJE: Aca les adjunto un video de microcemento  innov !!,INF,INF,WhatsApp,2/7/2025,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: Desea trabajar con nosotros,INF,INF,CRM1,05/06/2023,Contactado,Informacion General
"ETIQUETA: Info sobre microcemento | ESTADO: Contactado | CONSULTA: Asesor: Hola, estoy conectada, te puedo ayudar en algo? Cliente: Hola, busco polvonde cuarzo .... Asesor: Cual es tu nombre? Cliente: Lando .... Asesor: Yo me encargo de ponerte en contacto con un ase | NOTAS: SE CONTACTÓ POR WHATSAPP",INF,INF,CRM2,07/09/2024,Contactado,Info sobre microcemento
CIUDAD: Quito | MENSAJE: Buenas tardes disculpen talvez alguien tiene un precio referencial de colocación de microcemento en paredes ?,COT,COT,WhatsApp,7/4/2026,,
ETIQUETA: Informacion General | ESTADO: Contactado | NOTAS: SE LE ENVIO INFORMACION GENERAL,INF,INF,CRM2,08/08/2023,Contactado,Informacion General
